freq|lang|isSpecial|baseTerm|hasPlural|hasPossessive|baseFreq|pluralFreq|possessiveFreq
401|EN|0|present|s||399|2|0
400|EN|0|elephant|s|'s|263|103|34
400|EN|0|large|||400|0|0
400|EN|0|persistence|||400|0|0
399|EN|0|wilderness|||399|0|0
397|EN|0|occur|s||213|184|0
396|EN|0|than|||396|0|0
395|EN|0|head|s||313|82|0
394|EN|0|let|s|'s|342|15|37
391|EN|0|idea|s||94|297|0
390|EN|0|lay|s||387|3|0
388|EN|0|fetter|s||173|215|0
383|EN|0|sorrow|s||309|74|0
381|EN|0|back|s||335|46|0
381|EN|0|she||'s|374|0|7
379|EN|0|direct|s||328|51|0
379|EN|0|much|||379|0|0
379|EN|0|pleasant|||379|0|0
378|EN|0|ended|||378|0|0
377|EN|0|seat|s||293|84|0
375|EN|0|tree|s||331|44|0
374|EN|0|heart|s|'s|330|35|9
374|EN|0|mean|s||19|355|0
374|EN|0|resolve|s||262|112|0
374|EN|0|stressful|||374|0|0
371|EN|0|term|s||108|263|0
369|PI|0|kamma|||369|0|0
369|2E|0|percipient|||369|0|0
367|EN|0|pure|||367|0|0
365|EN|0|focused|||365|0|0
365|EN|0|village|s||314|51|0
364|2P|0|buddha|s|'s|300|16|48
364|EN|0|ground|s||194|170|0
363|EN|0|follower|s||208|155|0
359|EN|0|benefit|s||326|33|0
359|EN|0|evaluation|s||263|96|0
358|EN|0|earth||'s|357|0|1
358|EN|0|greed|s||356|2|0
358|EN|0|isn't|||358|0|0
358|EN|0|via|||358|0|0
358|EN|0|vision|||358|0|0
358|EN|0|within|||358|0|0
357|EN|0|still|s||356|1|0
357|EN|0|teaching|s|'s|222|133|2
356|EN|0|abandon|s||229|127|0
356|EN|0|lack|s||352|4|0
354|EN|0|themselves|||354|0|0
351|EN|0|directly|||351|0|0
351|EN|0|place|s||303|48|0
349|EN|0|bad|||349|0|0
348|EN|0|drawback|s||145|203|0
346|EN|0|happiness|||346|0|0
346|EN|0|tongue|||346|0|0
345|EN|0|mine|||345|0|0
344|EN|0|infinitude|||344|0|0
344|EN|0|under|||344|0|0
343|EN|0|our|s||337|6|0
342|EN|0|teach|||342|0|0
341|EN|0|verbal|||341|0|0
339|EN|0|hand|s||166|173|0
338|EN|0|could|||338|0|0
338|EN|0|nose|s||334|4|0
336|EN|0|root|s||276|60|0
334|EN|0|goes|||334|0|0
334|EN|0|suppose|s||321|13|0
332|EN|0|addressed|||332|0|0
332|EN|0|experienced|||332|0|0
329|EN|0|painful|||329|0|0
327|EN|0|breathe|s||307|20|0
324|EN|0|dear|s||319|5|0
324|EN|0|experience|s||219|105|0
324|EN|0|mother|s|'s|268|8|48
323|EN|0|admirable|||323|0|0
323|EN|0|beyond|||323|0|0
323|EN|0|keep|s||143|180|0
323|EN|0|together|||323|0|0
322|EN|0|development|s||318|4|0
321|EN|0|dependence|||321|0|0
321|EN|0|internal|||321|0|0
321|EN|0|joy|s||317|4|0
321|EN|0|quality|||321|0|0
321|EN|0|want|s||174|147|0
320|EN|0|escape|||320|0|0
320|EN|0|fourth|||320|0|0
320|EN|0|hundred|s||261|59|0
320|EN|0|realized|||320|0|0
319|EN|0|taught|||319|0|0
318|EN|0|extent|s||317|1|0
317|EN|0|hold|s||225|92|0
317|EN|0|sake|||317|0|0
316|EN|0|attention|||316|0|0
316|EN|0|space|||316|0|0
314|EN|0|integrity||'s|311|0|3
313|EN|0|power|s||275|38|0
312|EN|0|pursued|||312|0|0
312|EN|0|set|s||282|30|0
310|EN|0|greeting|s||1|309|0
310|EN|0|reason|s||281|29|0
